2021-06-11 21:38:46.636066{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.03807, 'heatif': 84.26906, 'humidity': 64.8}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 21:39:41.214488{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.04752, 'heatif': 84.28606, 'humidity': 64.9}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 21:40:34.016662{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.06647, 'heatif': 84.32016, 'humidity': 65.1}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:41:28.611328{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.05699, 'heatif': 84.3031, 'humidity': 65}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 21:42:21.418848{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.07596, 'heatif': 84.33725, 'humidity': 65.2}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:43:16.042062{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.08547, 'heatif': 84.35437, 'humidity': 65.3}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 14, 'calcvo': 0.068359, 'ddens': 0}}
2021-06-11 21:44:08.831631{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.09499, 'heatif': 84.37151, 'humidity': 65.4}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 21:45:03.423522{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.09499, 'heatif': 84.37151, 'humidity': 65.4}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 21:45:56.230447{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.09499, 'heatif': 84.37151, 'humidity': 65.4}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:46:51.117701{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.10454, 'heatif': 84.38869, 'humidity': 65.5}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 21:47:43.895089{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.11409, 'heatif': 84.40588, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 16, 'calcvo': 0.078125, 'ddens': 0}}
2021-06-11 21:48:38.486063{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.13324, 'heatif': 84.44036, 'humidity': 65.8}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 31, 'calcvo': 0.151367, 'ddens': 0}}
2021-06-11 21:49:31.262079{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.13324, 'heatif': 84.44036, 'humidity': 65.8}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 16, 'calcvo': 0.078125, 'ddens': 0}}
2021-06-11 21:50:25.871096{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.4, 'tempf': 81.32, 'heatic': 29.12366, 'heatif': 84.42311, 'humidity': 65.7}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:51:18.659006{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.3, 'tempf': 81.14, 'heatic': 28.95728, 'heatif': 84.12363, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:52:13.252364{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.3, 'tempf': 81.14, 'heatic': 28.94817, 'heatif': 84.10723, 'humidity': 65.5}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 16, 'calcvo': 0.078125, 'ddens': 0}}
2021-06-11 21:53:06.040974{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.3, 'tempf': 81.14, 'heatic': 28.97555, 'heatif': 84.15651, 'humidity': 65.8}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 24, 'calcvo': 0.117188, 'ddens': 0}}
2021-06-11 21:54:00.623800{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.3, 'tempf': 81.14, 'heatic': 28.95728, 'heatif': 84.12363, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 20, 'calcvo': 0.097656, 'ddens': 0}}
2021-06-11 21:54:53.440027{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.3, 'tempf': 81.14, 'heatic': 28.95728, 'heatif': 84.12363, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 18, 'calcvo': 0.087891, 'ddens': 0}}
2021-06-11 21:55:48.030523{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.2, 'tempf': 80.96, 'heatic': 28.80283, 'heatif': 83.8456, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 21:56:40.806007{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.2, 'tempf': 80.96, 'heatic': 28.80283, 'heatif': 83.8456, 'humidity': 65.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 21:57:35.509608{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.2, 'tempf': 80.96, 'heatic': 28.81151, 'heatif': 83.86124, 'humidity': 65.7}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 16, 'calcvo': 0.078125, 'ddens': 0}}
2021-06-11 21:58:28.308588{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.2, 'tempf': 80.96, 'heatic': 28.81151, 'heatif': 83.86124, 'humidity': 65.7}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 21:59:22.888507{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.6755, 'heatif': 83.61641, 'humidity': 65.9}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 22:00:15.678750{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.68378, 'heatif': 83.63132, 'humidity': 66}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 21, 'calcvo': 0.102539, 'ddens': 0}}
2021-06-11 22:01:10.272061{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.70039, 'heatif': 83.66122, 'humidity': 66.2}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 17, 'calcvo': 0.083008, 'ddens': 0}}
2021-06-11 22:02:03.061663{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.70871, 'heatif': 83.6762, 'humidity': 66.3}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 21, 'calcvo': 0.102539, 'ddens': 0}}
2021-06-11 22:02:59.680460{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.72539, 'heatif': 83.70622, 'humidity': 66.5}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 22:03:52.454563{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.73375, 'heatif': 83.72127, 'humidity': 66.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 22:17:32.221448{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.90344, 'heatif': 84.02672, 'humidity': 68.6}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 15, 'calcvo': 0.073242, 'ddens': 0}}
2021-06-11 22:18:26.828596{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.91205, 'heatif': 84.04221, 'humidity': 68.7}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 22:31:23.387426{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.70871, 'heatif': 83.6762, 'humidity': 66.3}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 19, 'calcvo': 0.092773, 'ddens': 0}}
2021-06-11 22:32:16.226132{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.85203, 'heatif': 83.93417, 'humidity': 68}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 75, 'calcvo': 0.366211, 'ddens': 0}}
2021-06-11 22:33:10.867497{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.85203, 'heatif': 83.93417, 'humidity': 68}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 17, 'calcvo': 0.083008, 'ddens': 0}}
2021-06-11 22:34:03.664150{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.86057, 'heatif': 83.94954, 'humidity': 68.1}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 36, 'calcvo': 0.175781, 'ddens': 0}}
2021-06-11 22:34:58.531008{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.8435, 'heatif': 83.91882, 'humidity': 67.9}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 14, 'calcvo': 0.068359, 'ddens': 0}}
2021-06-11 22:35:51.318819{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.8435, 'heatif': 83.91882, 'humidity': 67.9}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 29, 'calcvo': 0.141602, 'ddens': 0}}
2021-06-11 22:36:45.987920{'api_key': 'REPLACE_WITH_YOUR_API_KEY', 'macadd': 'C4:5B:BE:54:D1:52', 'ipaddr': '192.168.2.65', 'temphumid': {'type': 22, 'tempc': 27.1, 'tempf': 80.78, 'heatic': 28.85203, 'heatif': 83.93417, 'humidity': 68}, 'dustsens': {'type': 'GP2Y1010AU0F', 'vo': 20, 'calcvo': 0.097656, 'ddens': 0}}
